swish-python-master,client.py,ignore_except_block,11
personfinder-master,test_prefix.py,assert_used,52
personfinder-master,test_prefix.py,assert_used,53
personfinder-master,test_prefix.py,assert_used,77
personfinder-master,test_prefix.py,assert_used,82
personfinder-master,test_prefix.py,assert_used,87
personfinder-master,test_prefix.py,assert_used,92
personfinder-master,test_main.py,assert_used,58
personfinder-master,test_main.py,assert_used,59
personfinder-master,test_main.py,assert_used,65
personfinder-master,test_main.py,assert_used,66
personfinder-master,test_main.py,assert_used,72
personfinder-master,test_main.py,assert_used,73
personfinder-master,test_main.py,assert_used,84
personfinder-master,test_main.py,assert_used,85
personfinder-master,test_main.py,assert_used,87
personfinder-master,test_importer.py,assert_used,49
personfinder-master,test_importer.py,assert_used,50
personfinder-master,test_importer.py,assert_used,51
personfinder-master,test_importer.py,assert_used,52
personfinder-master,test_importer.py,assert_used,53
personfinder-master,test_importer.py,assert_used,54
personfinder-master,test_importer.py,assert_used,55
personfinder-master,test_importer.py,assert_used,56
personfinder-master,test_importer.py,assert_used,57
personfinder-master,test_importer.py,assert_used,58
personfinder-master,test_importer.py,assert_used,61
personfinder-master,test_importer.py,assert_used,63
personfinder-master,test_importer.py,assert_used,103
personfinder-master,test_importer.py,assert_used,104
personfinder-master,test_importer.py,assert_used,105
personfinder-master,test_importer.py,assert_used,106
personfinder-master,test_importer.py,assert_used,108
personfinder-master,test_importer.py,assert_used,122
personfinder-master,test_importer.py,assert_used,135
personfinder-master,test_importer.py,assert_used,136
personfinder-master,test_importer.py,assert_used,137
personfinder-master,test_importer.py,assert_used,138
personfinder-master,test_importer.py,assert_used,140
personfinder-master,test_importer.py,assert_used,147
personfinder-master,test_importer.py,assert_used,173
personfinder-master,test_importer.py,assert_used,174
personfinder-master,test_importer.py,assert_used,203
personfinder-master,test_importer.py,assert_used,206
personfinder-master,test_importer.py,assert_used,238
personfinder-master,test_importer.py,assert_used,239
personfinder-master,test_importer.py,assert_used,264
personfinder-master,test_importer.py,assert_used,266
personfinder-master,test_importer.py,assert_used,269
personfinder-master,test_importer.py,assert_used,298
personfinder-master,test_importer.py,assert_used,299
personfinder-master,test_importer.py,assert_used,325
personfinder-master,test_importer.py,assert_used,326
personfinder-master,test_importer.py,assert_used,334
personfinder-master,test_importer.py,assert_used,335
personfinder-master,test_importer.py,assert_used,336
personfinder-master,test_importer.py,assert_used,342
personfinder-master,test_importer.py,assert_used,344
personfinder-master,test_importer.py,assert_used,365
personfinder-master,test_importer.py,assert_used,366
personfinder-master,test_importer.py,assert_used,367
personfinder-master,test_importer.py,assert_used,370
